,fileName,Title,Artist,Album,Genre,Release Date,Length
160,music\10 Don't Go Breaking My Heart.mp3,Don't Go Breaking My Heart,RuPaul & Elton John,Duets,Pop,1993,4:59
161,music\10 Thunder.mp3,Thunder,Imagine Dragons,Evolve,Alternative,2018,3:7
162,music\11 Dancing In the Dark.mp3,Dancing In the Dark,Bruce Springsteen,Born In the U.S.A.,Rock,1984,4:5
163,music\11 Love on the Brain.mp3,Love on the Brain,Rihanna,ANTI (Deluxe),Pop,2016,3:44
164,music\11 Memories.mp3,Memories,Maroon 5,JORDI (Deluxe),Pop,2019,3:9
165,"music\11 thank u, next.mp3","thank u, next",Ariana Grande,"thank u, next",Pop,2018,3:27
166,music\11 Thinking Out Loud.mp3,Thinking Out Loud,Ed Sheeran,x,Pop,2014,4:41
167,music\11 ___Flawless (feat. Chimamanda Ngozi Adichie).mp3,***Flawless (feat. Chimamanda Ngozi Adichie),Beyoncé,Beyoncé (Deluxe),Pop,2013,4:11
168,music\12 Boys.mp3,Boys,Lizzo,Cuz I Love You (Super Deluxe),Pop,2018,2:52
169,music\12 Congratulations (feat. Quavo).mp3,Congratulations (feat. Quavo),Post Malone,Stoney (Deluxe),Hip-Hop/Rap,2016,3:40
170,music\12 Formation.mp3,Formation,Beyoncé,Lemonade,Pop,2016,3:26
171,music\12 One Dance (feat. Wizkid & Kyla).mp3,One Dance (feat. Wizkid & Kyla),Drake,Views,Hip-Hop/Rap,2016,2:54
172,music\12 Peaches (feat. Daniel Caesar & GIVĒON).mp3,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,Justice,Pop,2021,3:18
173,music\12 positions.mp3,positions,Ariana Grande,Positions,Pop,2020,2:52
174,music\12 Shallow.mp3,Shallow,Lady Gaga & Bradley Cooper,A Star Is Born Soundtrack,Soundtrack,2018,3:35
175,music\12 The Bones.mp3,The Bones,Maren Morris,GIRL,Country,2019,3:17
176,music\12 The Lion King_ Circle of Life.mp3,The Lion King: Circle of Life,Geek Music,"The Greatest Disney Songs, Vol. 2",Soundtrack,2019,4:0
177,music\12 Your Power.mp3,Your Power,Billie Eilish,Happier Than Ever,Alternative,2021,4:5
178,music\13 Truth Hurts.mp3,Truth Hurts,Lizzo,Cuz I Love You (Super Deluxe),Pop,2017,2:53
179,music\13 We're Good.mp3,We're Good,Dua Lipa,Future Nostalgia (The Moonlight Edition),Pop,2021,2:45
180,music\14 pov.mp3,pov,Ariana Grande,Positions,Pop,2020,3:21
181,music\14 Twist and Shout.mp3,Twist and Shout,The Beatles,Please Please Me,Rock,1963,2:33
182,music\15 Beautiful Crazy.mp3,Beautiful Crazy,Luke Combs,This One’s for You Too (Deluxe Edition),Country,2018,3:13
183,music\17 'Till I Collapse (feat. Nate Dogg).mp3,'Till I Collapse (feat. Nate Dogg),Eminem,The Eminem Show,Hip-Hop/Rap,2002,4:57
184,music\17 Better Together.mp3,Better Together,Luke Combs,What You See Is What You Get,Country,2019,3:37
185,music\18 I Feel It Coming (feat. Daft Punk).mp3,I Feel It Coming (feat. Daft Punk),The Weeknd,Starboy,R&B/Soul,2016,4:29
186,music\2-01 7_11.mp3,7/11,Beyoncé,BEYONCÉ (Platinum Edition),Pop,2014,3:33
187,music\2-03 Uptown Girl.mp3,Uptown Girl,Billy Joel,The Essential Billy Joel,Rock,1983,3:18
188,music\2-10 We Didn't Start the Fire.mp3,We Didn't Start the Fire,Billy Joel,The Essential Billy Joel,Rock,1989,4:51
