Start Time,End Time,Duration,expName,Version,subjectID,timingFile,Session,Event,Sound Type
2021-11-17 15:24:13.722,2021-11-17 15:24:33.728,20.005066,Auditory Oddball Task,1,1,timing/0.csv,1,No sound,None
2021-11-17 15:24:33.990,2021-11-17 15:24:33.995,0.005311,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:24:34.005,2021-11-17 15:24:36.741,2.736282,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:24:36.752,2021-11-17 15:24:36.757,0.00496,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:24:36.768,2021-11-17 15:24:39.254,2.485758,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:24:39.265,2021-11-17 15:24:39.269,0.004959,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:24:39.280,2021-11-17 15:24:41.266,1.985721,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:24:41.277,2021-11-17 15:24:41.282,0.00496,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:24:41.292,2021-11-17 15:24:43.527,2.23487,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:24:43.539,2021-11-17 15:24:43.544,0.004463,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:24:43.555,2021-11-17 15:24:44.790,1.234812,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:24:44.801,2021-11-17 15:24:44.806,0.00496,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:24:44.817,2021-11-17 15:24:47.552,2.735597,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:24:47.563,2021-11-17 15:24:47.568,0.004959,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:24:47.579,2021-11-17 15:24:48.814,1.235182,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:24:48.825,2021-11-17 15:24:48.830,0.004464,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:24:48.840,2021-11-17 15:24:51.576,2.736209,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:24:51.588,2021-11-17 15:24:51.593,0.00496,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:24:51.603,2021-11-17 15:24:54.087,2.484329,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:24:54.098,2021-11-17 15:24:54.103,0.004926,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:24:54.114,2021-11-17 15:24:55.349,1.234941,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:24:55.359,2021-11-17 15:24:55.364,0.004959,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:24:55.375,2021-11-17 15:24:57.112,1.737412,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:24:57.124,2021-11-17 15:24:57.129,0.004959,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:24:57.140,2021-11-17 15:24:59.624,2.484456,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:24:59.635,2021-11-17 15:24:59.640,0.004464,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:24:59.651,2021-11-17 15:25:01.136,1.485289,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:25:01.147,2021-11-17 15:25:01.152,0.00496,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:25:01.163,2021-11-17 15:25:02.898,1.734238,Auditory Oddball Task,1,1,timing/0.csv,1,Interval,None
2021-11-17 15:25:02.909,2021-11-17 15:25:02.914,0.00496,Auditory Oddball Task,1,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
