TimeStamp,expName,Version,subjectID,Session,Event
2021-11-17 15:44:24.059,Auditory Oddball Task,1.0,1,1,task started
2021-11-17 15:44:25.020,Auditory Oddball Task,1.0,1,1,Message: Press 5 to continue
2021-11-17 15:44:26.446,Auditory Oddball Task,1.0,1,1,5 pressed
2021-11-17 15:44:26.450,Auditory Oddball Task,1.0,1,1,No sound (start)
2021-11-17 15:44:46.459,Auditory Oddball Task,1.0,1,1,No sound (end)
2021-11-17 15:44:46.545,Auditory Oddball Task,1.0,1,1,Sound played (start):sound/PO500HZ.WAV
2021-11-17 15:44:46.548,Auditory Oddball Task,1.0,1,1,Sound played (end):sound/PO500HZ.WAV
2021-11-17 15:44:46.555,Auditory Oddball Task,1.0,1,1,Interval (start)
2021-11-17 15:44:49.470,Auditory Oddball Task,1.0,1,1,Interval (end)
2021-11-17 15:44:49.480,Auditory Oddball Task,1.0,1,1,Sound played (start):sound/PO500HZ.WAV
2021-11-17 15:44:49.484,Auditory Oddball Task,1.0,1,1,Sound played (end):sound/PO500HZ.WAV
2021-11-17 15:44:49.494,Auditory Oddball Task,1.0,1,1,Interval (start)
2021-11-17 15:44:51.983,Auditory Oddball Task,1.0,1,1,Interval (end)
2021-11-17 15:44:51.991,Auditory Oddball Task,1.0,1,1,Sound played (start):sound/PO500HZ.WAV
2021-11-17 15:44:51.994,Auditory Oddball Task,1.0,1,1,Sound played (end):sound/PO500HZ.WAV
2021-11-17 15:44:52.002,Auditory Oddball Task,1.0,1,1,Interval (start)
2021-11-17 15:44:53.997,Auditory Oddball Task,1.0,1,1,Interval (end)
2021-11-17 15:44:54.004,Auditory Oddball Task,1.0,1,1,Sound played (start):sound/PO500HZ.WAV
2021-11-17 15:44:54.007,Auditory Oddball Task,1.0,1,1,Sound played (end):sound/PO500HZ.WAV
2021-11-17 15:44:54.015,Auditory Oddball Task,1.0,1,1,Interval (start)
2021-11-17 15:44:56.260,Auditory Oddball Task,1.0,1,1,Interval (end)
2021-11-17 15:44:56.269,Auditory Oddball Task,1.0,1,1,Sound played (start):sound/PO500HZ.WAV
2021-11-17 15:44:56.271,Auditory Oddball Task,1.0,1,1,Sound played (end):sound/PO500HZ.WAV
2021-11-17 15:44:56.278,Auditory Oddball Task,1.0,1,1,Interval (start)
