Start Time,End Time,Duration,expName,Version,subjectID,timingFile,Session,Event,Sound Type
2022-03-17 16:52:22.285,2022-03-17 16:52:42.289,20.004,Auditory Oddball Task,1.0,1,timing/0.csv,1,No sound,None
2022-03-17 16:52:42.296,2022-03-17 16:52:42.527,0.231,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2022-03-17 16:52:42.533,2022-03-17 16:52:45.295,2.762,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2022-03-17 16:52:45.302,2022-03-17 16:52:45.499,0.197,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2022-03-17 16:52:45.507,2022-03-17 16:52:47.802,2.295,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2022-03-17 16:52:47.808,2022-03-17 16:52:48.088,0.28,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2022-03-17 16:52:48.095,2022-03-17 16:52:49.809,1.714,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2022-03-17 16:52:49.816,2022-03-17 16:52:50.139,0.323,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2022-03-17 16:52:50.146,2022-03-17 16:52:52.066,1.92,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2022-03-17 16:52:52.073,2022-03-17 16:52:52.372,0.299,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2022-03-17 16:52:52.378,2022-03-17 16:52:53.324,0.946,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2022-03-17 16:52:53.331,2022-03-17 16:52:53.673,0.342,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
