Start Time,End Time,Duration,expName,Version,subjectID,timingFile,Session,Event,Sound Type
2021-11-17 15:31:11.724,2021-11-17 15:31:11.726,0.002,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:31:11.732,2021-11-17 15:31:13.487,1.755,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2021-11-17 15:31:13.495,2021-11-17 15:31:13.498,0.003,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:31:13.507,2021-11-17 15:31:16.247,2.74,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2021-11-17 15:31:16.254,2021-11-17 15:31:16.257,0.003,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:31:16.264,2021-11-17 15:31:18.009,1.745,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2021-11-17 15:31:18.016,2021-11-17 15:31:18.019,0.003,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PN650HZ.WAV,Deviant
2021-11-17 15:31:18.026,2021-11-17 15:31:20.527,2.501,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2021-11-17 15:31:20.534,2021-11-17 15:31:20.537,0.003,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:31:20.545,2021-11-17 15:31:21.792,1.247,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2021-11-17 15:31:21.799,2021-11-17 15:31:21.802,0.003,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:31:21.809,2021-11-17 15:31:23.800,1.991,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2021-11-17 15:31:23.807,2021-11-17 15:31:23.810,0.003,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:31:23.816,2021-11-17 15:31:26.057,2.241,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2021-11-17 15:31:26.064,2021-11-17 15:31:26.067,0.003,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:31:26.074,2021-11-17 15:31:28.080,2.006,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2021-11-17 15:31:28.087,2021-11-17 15:31:28.089,0.002,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
2021-11-17 15:31:28.096,2021-11-17 15:31:29.349,1.253,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2021-11-17 15:31:29.358,2021-11-17 15:31:29.360,0.002,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound\ANSEALIO.WAV,Novel
2021-11-17 15:31:29.368,2021-11-17 15:31:32.360,2.992,Auditory Oddball Task,1.0,1,timing/0.csv,1,Interval,None
2021-11-17 15:31:32.367,2021-11-17 15:31:32.369,0.002,Auditory Oddball Task,1.0,1,timing/0.csv,1,Sound played:sound/PO500HZ.WAV,Standard
