,Absolute Time,Block,Trial,Color,Trial Time,Phase,Phase Time,Rating
85,41.340607,1,1,4,7.31694439996,square,7.31694459997,25
86,41.4240679001,1,1,4,7.40040519997,square,7.40040499996,25
87,41.5074734001,1,1,4,7.48381070001,square,7.48381060001,25
88,41.5907702,1,1,4,7.56710749993,square,7.56710749993,25
89,41.6742183,1,1,4,7.65055569995,square,7.65055559995,25
90,41.7574387001,1,1,4,7.73377609998,square,7.73377589998,25
91,41.8407304001,1,1,4,7.81706879998,square,7.81706909998,25
92,41.9241671001,1,1,4,7.90050449991,square,7.90050479991,25
93,42.0072550001,1,1,4,7.98359229998,square,7.98359209998,25
94,42.0906088001,1,1,4,8.06694609998,square,8.06694609998,25
95,42.1739578,1,1,4,8.15029519994,square,8.15029609995,25
96,42.2574739001,1,1,4,8.23381130002,square,8.2338110999,25
97,42.3575352001,1,1,4,8.33387249999,square,8.3338729,25
98,42.4406226,1,1,4,8.41695989994,square,8.41695979994,25
99,42.5240582001,1,1,4,8.50039549998,square,8.50039539998,25
100,42.6073728,1,1,4,8.58371019992,square,8.58371049992,25
101,42.6907893,1,1,4,8.66712649993,square,8.66712629993,25
102,42.7741343001,1,1,4,8.75047159998,square,8.75047139998,25
103,42.8572954001,1,1,4,8.83363279991,square,8.83363259991,25
104,42.9409396001,1,1,4,8.91727689991,square,8.91727679991,25
105,43.0241923,1,1,4,9.00052969996,square,9.00053079997,25
106,43.1074546,1,1,4,9.08379189996,square,9.08379169996,25
107,43.1909232001,1,1,4,9.1672604999,square,9.1672604999,25
108,43.2908365,1,1,4,9.26717389992,square,9.26717379992,25
109,43.3742014001,1,1,4,9.3505387,square,9.3505387,25
110,43.4574549,1,1,4,9.43379219994,square,9.43379209994,25
111,43.5409037,1,1,4,9.51724109997,square,9.51724099996,25
112,43.6240507001,1,1,4,9.6003879999,square,9.6003879999,25
113,43.7075580001,1,1,4,9.68389539991,square,9.68389559991,25
114,43.7909866001,1,1,4,9.76732410002,square,9.7673239999,25
115,43.8742362,1,1,4,9.85057369992,square,9.85057349992,25
116,43.9575485,1,1,4,9.93388649996,square,9.93388689996,25
117,44.0408829,1,1,4,10.0172202999,square,10.0172201999,25
118,44.1240806001,1,1,4,10.1004188999,square,10.1004186999,25
119,44.2076516,1,1,4,10.1839888999,square,10.1839888999,25
120,44.307577,1,1,4,10.2839143999,square,10.2839142999,25
121,44.3907747001,1,1,4,10.3671125,square,10.3671122,25
122,44.4740129,1,1,4,10.4503501999,square,10.4503500999,25
123,44.5574657001,1,1,4,10.5338033,square,10.5338032,25
124,44.6406558,1,1,4,10.6169931999,square,10.6169930999,25
125,44.7246318001,1,1,4,10.7009691,square,10.700969,25
126,44.8240990001,1,1,4,10.8004363,square,10.8004361,25
127,44.9077119001,1,1,4,10.8840501,square,10.8840506,25
128,44.9907962,1,1,4,10.9671334999,square,10.9671333999,25
129,45.0743392,1,1,4,11.0506765,square,11.0506764,25
130,45.1576348001,1,1,4,11.1339721,square,11.1339719,25
131,45.2409729001,1,1,4,11.2173103,square,11.2173101,25
132,45.3240221001,1,1,4,11.3003594,square,11.3003593,25
133,45.407617,1,1,4,11.3839543,square,11.3839542,25
134,45.4907411,1,1,4,11.4670784,square,11.4670782,25
135,45.5742469,1,1,4,11.5505842,square,11.5505842,25
136,45.6575073,1,1,4,11.6338446999,square,11.6338445999,25
