expName,Version,subjectID,Session Number,Section,Start Time,End Time,Duration,Block Count,Trial Count,Image Displayed,Flanker,Direction,Correct Answer,Cell Number,User Response,Correct or Incorrect,User Response TimeStamp,User Response Time
FlankerTask,1,1,1,Blank Screen,04/01/22 09:59:45,04/01/22 09:59:46,0.509623,0,9,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 09:59:46,04/01/22 09:59:46,0.389696,0,10,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 09:59:46,04/01/22 09:59:47,0.421394,0,10,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 09:59:47,04/01/22 09:59:48,1.717084,,10,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 09:59:48,04/01/22 09:59:49,0.516873,0,10,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 09:59:49,04/01/22 09:59:49,0.414121,0,11,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 09:59:49,04/01/22 09:59:50,0.406788,0,11,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 09:59:50,04/01/22 09:59:51,1.7225,,11,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 09:59:51,04/01/22 09:59:52,0.509514,0,11,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 09:59:52,04/01/22 09:59:52,0.380726,0,12,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 09:59:52,04/01/22 09:59:53,0.437714,0,12,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 09:59:53,04/01/22 09:59:54,1.73179,,12,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 09:59:54,04/01/22 09:59:55,0.525046,0,12,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 09:59:55,04/01/22 09:59:56,0.50637,0,13,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 09:59:56,04/01/22 09:59:56,0.422371,0,13,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 09:59:56,04/01/22 09:59:58,1.717761,,13,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 09:59:58,04/01/22 09:59:58,0.527214,0,13,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 09:59:58,04/01/22 09:59:59,0.556491,0,14,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 09:59:59,04/01/22 09:59:59,0.420194,0,14,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 09:59:59,04/01/22 10:00:01,1.719441,,14,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:01,04/01/22 10:00:01,0.526832,0,14,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:01,04/01/22 10:00:02,0.480478,0,15,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:02,04/01/22 10:00:02,0.430022,0,15,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:02,04/01/22 10:00:04,1.718477,,15,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:04,04/01/22 10:00:05,0.526754,0,15,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:05,04/01/22 10:00:05,0.405999,0,16,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:05,04/01/22 10:00:05,0.422193,0,16,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:05,04/01/22 10:00:07,1.734636,,16,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:07,04/01/22 10:00:08,0.52573,0,16,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:08,04/01/22 10:00:08,0.581299,0,17,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:08,04/01/22 10:00:09,0.429819,0,17,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:09,04/01/22 10:00:10,1.735819,,17,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:10,04/01/22 10:00:11,0.524379,0,17,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:11,04/01/22 10:00:11,0.401691,0,18,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:11,04/01/22 10:00:12,0.422029,0,18,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:12,04/01/22 10:00:14,1.719044,,18,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:14,04/01/22 10:00:14,0.528084,0,18,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:14,04/01/22 10:00:15,0.541765,0,19,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:15,04/01/22 10:00:15,0.419002,0,19,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:15,04/01/22 10:00:17,1.7161,,19,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:17,04/01/22 10:00:17,0.528313,0,19,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:17,04/01/22 10:00:18,0.479765,0,20,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:18,04/01/22 10:00:18,0.431062,0,20,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:18,04/01/22 10:00:20,1.735937,,20,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:20,04/01/22 10:00:20,0.522282,0,20,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:20,04/01/22 10:00:21,0.349401,0,21,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:21,04/01/22 10:00:21,0.430557,0,21,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:21,04/01/22 10:00:23,1.731403,,21,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:23,04/01/22 10:00:23,0.527261,0,21,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:23,04/01/22 10:00:24,0.531635,0,22,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:24,04/01/22 10:00:24,0.431201,0,22,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:24,04/01/22 10:00:26,1.718476,,22,<<><<,Incongruent,Right,2,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:26,04/01/22 10:00:27,0.524403,0,22,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:27,04/01/22 10:00:27,0.577391,0,23,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:27,04/01/22 10:00:28,0.411214,0,23,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:28,04/01/22 10:00:29,1.722536,,23,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:29,04/01/22 10:00:30,0.52773,0,23,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:30,04/01/22 10:00:30,0.413454,0,24,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:30,04/01/22 10:00:31,0.424442,0,24,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:31,04/01/22 10:00:33,1.725035,,24,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:33,04/01/22 10:00:33,0.517899,0,24,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:33,04/01/22 10:00:33,0.401378,0,25,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:33,04/01/22 10:00:34,0.42146,0,25,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:34,04/01/22 10:00:36,1.729649,,25,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:36,04/01/22 10:00:36,0.532096,0,25,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:36,04/01/22 10:00:37,0.581026,0,26,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:37,04/01/22 10:00:37,0.429605,0,26,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:37,04/01/22 10:00:39,1.743215,,26,>>>>>,Congruent,Right,2,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:39,04/01/22 10:00:39,0.522284,0,26,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:39,04/01/22 10:00:40,0.543954,0,27,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:40,04/01/22 10:00:40,0.439468,0,27,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:40,04/01/22 10:00:42,1.73335,,27,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:42,04/01/22 10:00:43,0.539356,0,27,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:43,04/01/22 10:00:43,0.4207,0,28,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:43,04/01/22 10:00:44,0.432978,0,28,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:44,04/01/22 10:00:45,1.734751,,28,>><>>,Incongruent,Left,4,5,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:45,04/01/22 10:00:46,0.525845,0,28,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:46,04/01/22 10:00:46,0.57166,0,29,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:46,04/01/22 10:00:47,0.422774,0,29,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:47,04/01/22 10:00:49,1.734957,,29,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:49,04/01/22 10:00:49,0.52022,0,29,,,,,,,,,
FlankerTask,1,1,1,Fixation Screen,04/01/22 10:00:49,04/01/22 10:00:50,0.434142,0,30,,,,,,,,,
FlankerTask,1,1,1,Flanker Image Shown (0.2 sec),04/01/22 10:00:50,04/01/22 10:00:50,0.436154,0,30,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Response Window (1.7 sec),04/01/22 10:00:50,04/01/22 10:00:52,1.733779,,30,<<<<<,Congruent,Left,4,4,No response,,,
FlankerTask,1,1,1,Blank Screen,04/01/22 10:00:52,04/01/22 10:00:52,0.511031,0,30,,,,,,,,,
