Trial_ID,Step,Stimulus,Response,ResponseTime,Duration,CorrectAnswer,Type
18,Fixation,+,,,0.5044547916040756,,
18,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,0.5037295416695997,[,mNTc
18,Display Faces,enlarged_images/A/f3n.bmp / enlarged_images/A/f3n.bmp,,,1.0032774166902527,[,mNTc
18,ITI,ITI,,,0.6270084166899323,,
18,Fixation,+,,,2.502206291654147,,
19,Fixation,+,,,0.5042439166572876,,
19,Display Faces,enlarged_images/A/m5t.bmp / enlarged_images/A/m5n.bmp,,,0.5036099583376199,[,mNTi
19,Display Faces,enlarged_images/A/m5t.bmp / enlarged_images/A/m5n.bmp,,,1.0032109167077579,[,mNTi
19,ITI,ITI,,,0.4023847916396335,,
19,Fixation,+,,,2.5024297916679643,,
20,Fixation,+,,,0.5040140833007172,,
20,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,0.5037486667279154,[,fNN
20,Display Faces,enlarged_images/A/f1n.bmp / enlarged_images/A/f1n.bmp,,,1.0037677499931306,[,fNN
20,ITI,ITI,,,0.27708766667637974,,
20,Fixation,+,,,2.502451749984175,,
21,Fixation,+,,,0.5040481666801497,,
21,Display Faces,enlarged_images/A/m3n.bmp / enlarged_images/A/m3n.bmp,,,0.5041741667082533,[,mNN
21,Display Faces,enlarged_images/A/m3n.bmp / enlarged_images/A/m3n.bmp,,,1.003175541642122,[,mNN
21,ITI,ITI,,,0.6521069582668133,,
21,Fixation,+,,,2.502274625003338,,
22,Fixation,+,,,0.5042435000068508,,
22,Display Faces,enlarged_images/A/m1n.bmp / enlarged_images/A/m1t.bmp,,,0.503505791653879,[,mNTi
22,Display Faces,enlarged_images/A/m1n.bmp / enlarged_images/A/m1t.bmp,,,1.0036867083399557,[,mNTi
22,ITI,ITI,,,0.4022233749856241,,
22,Fixation,+,,,2.5026529583265074,,
23,Fixation,+,,,0.5041032916633412,,
23,Display Faces,enlarged_images/A/m5n.bmp / enlarged_images/A/m5t.bmp,,,0.5038096666685306,[,mNTi
23,Display Faces,enlarged_images/A/m5n.bmp / enlarged_images/A/m5t.bmp,,,1.0031350833596662,[,mNTi
23,ITI,ITI,,,0.27715649997117,,
23,Fixation,+,,,2.5021175832953304,,
24,Fixation,+,,,0.5042619583546184,,
24,Display Faces,enlarged_images/A/f3t.bmp / enlarged_images/A/f3n.bmp,,,0.5044319999869913,[,fNTi
24,Display Faces,enlarged_images/A/f3t.bmp / enlarged_images/A/f3n.bmp,,,1.0032495000050403,[,fNTi
24,ITI,ITI,,,0.5773246250464581,,
24,Fixation,+,,,2.5022780833533034,,
