Trial_ID,Step,Stimulus,Response,ResponseTime,Duration,CorrectAnswer,Type
1.0,Fixation,+,,,0.5101966250222176,,
1.0,Display Faces,enlarged_images/B/f1n.bmp / enlarged_images/B/f1n.bmp,,,0.5092620416544378,[,fNN
1.0,Display Faces,enlarged_images/B/f1n.bmp / enlarged_images/B/f1n.bmp,,,1.0038737083086744,[,fNN
1.0,ITI,ITI,,,0.4771882083150558,,
1.0,Fixation,+,,,2.5030074166716076,,
2.0,Fixation,+,,,0.5042319166241214,,
2.0,Display Faces,enlarged_images/B/f2n.bmp / enlarged_images/B/f2n.bmp,,,0.5044237083639018,[,mNTc
2.0,Display Faces,enlarged_images/B/f2n.bmp / enlarged_images/B/f2n.bmp,,,1.0040296249790117,[,mNTc
2.0,ITI,ITI,,,0.7271286665927619,,
2.0,Fixation,+,,,2.5031254999921657,,
3.0,Fixation,+,,,0.5047123333788477,,
3.0,Display Faces,enlarged_images/B/f2n.bmp / enlarged_images/B/f2t.bmp,,,0.5053763333125971,[,fNTi
3.0,Display Faces,enlarged_images/B/f2n.bmp / enlarged_images/B/f2t.bmp,,,1.003494041680824,[,fNTi
3.0,ITI,ITI,,,0.4775942083215341,,
3.0,Fixation,+,,,2.502937958284747,,
4.0,Fixation,+,,,0.5051619166042656,,
4.0,Display Faces,enlarged_images/B/m1n.bmp / enlarged_images/B/m1n.bmp,,,0.5049755000509322,[,mNN
4.0,Display Faces,enlarged_images/B/m1n.bmp / enlarged_images/B/m1n.bmp,,,1.003724833310116,[,mNN
4.0,ITI,ITI,,,0.2578462917008437,,
4.0,Fixation,+,,,2.503345791657921,,
5.0,Fixation,+,,,0.5071517917094752,,
5.0,Display Faces,enlarged_images/B/f3n.bmp / enlarged_images/B/f3n.bmp,,,0.5054477917146869,[,fNTc
5.0,Display Faces,enlarged_images/B/f3n.bmp / enlarged_images/B/f3n.bmp,,,1.0039719166816212,[,fNTc
5.0,ITI,ITI,,,0.4778739166795276,,
5.0,Fixation,+,,,2.5033574999542907,,
6.0,Fixation,+,,,0.5047500833170488,,
6.0,Display Faces,enlarged_images/B/f4n.bmp / enlarged_images/B/f4n.bmp,,,0.5046336249797605,[,fNN
6.0,Display Faces,enlarged_images/B/f4n.bmp / enlarged_images/B/f4n.bmp,,,1.003714166698046,[,fNN
6.0,ITI,ITI,,,0.45235883339773864,,
