Index,subjectID,Session,Version,Section,Subtrial,Event,Reward,Punishment,Duration(ms)
1,,1,1,Practice,,After Calibration Before Door Practice Game,,,3534.8358154296875
2,,1,1,Practice,0,Playing Door Game (Before lock).,,,5961.7719650268555
3,,1,1,Practice,0,After lock: Door Anticipation Time.,,,2973.106622695923
4,,1,1,Practice,0,Reward screen displayed.,,,2793.5097217559814
5,,1,1,Practice,0,ITI screen displayed.,,,1767.5049304962158
1,,1,1,TaskRun1,,After Calibration Before Door Practice Game,,,557.4965476989746
2,,1,1,TaskRun1,0,Playing Door Game (Before lock).,1,4,2675.467014312744
3,,1,1,TaskRun1,0,After lock: Door Anticipation Time.,1,4,2353.8906574249268
4,,1,1,TaskRun1,0,Punishment screen (score:4) displayed.,1,4,358.11805725097656
5,,1,1,TaskRun1,0,ITI screen displayed.,,,4515.676975250244
6,,1,1,TaskRun1,1,Playing Door Game (Before lock).,1,6,2876.6751289367676
7,,1,1,TaskRun1,1,After lock: Door Anticipation Time.,1,6,2382.658004760742
8,,1,1,TaskRun1,1,Reward screen (score:1) displayed.,1,6,315.43421745300293
9,,1,1,TaskRun1,1,ITI screen displayed.,,,4241.793394088745
1,,1,1,TaskRun2,,After Calibration Before Door Practice Game,,,620.8653450012207
2,,1,1,TaskRun2,0,Playing Door Game (Before lock).,4,3,3192.234516143799
3,,1,1,TaskRun2,0,After lock: Door Anticipation Time.,4,3,2551.4512062072754
4,,1,1,TaskRun2,0,Reward screen (score:4) displayed.,4,3,298.0990409851074
5,,1,1,TaskRun2,0,ITI screen displayed.,,,4952.635765075684
1,,1,1,TaskRun3,,After Calibration Before Door Practice Game,,,561.5506172180176
2,,1,1,TaskRun3,0,Playing Door Game (Before lock).,5,5,5858.393430709839
3,,1,1,TaskRun3,0,After lock: Door Anticipation Time.,5,5,3356.285810470581
4,,1,1,TaskRun3,0,Punishment screen (score:5) displayed.,5,5,373.9895820617676
5,,1,1,TaskRun3,0,ITI screen displayed.,,,8031.120538711548
