Index,subjectID,Session,Version,Section,Subtrial,Event,Reward,Punishment,Duration(ms)
1,,1,1,Practice,,After Calibration Before Door Practice Game,,,2756.8392753601074
2,,1,1,Practice,0,Playing Door Game (Before lock).,,,2032.9015254974365
3,,1,1,Practice,0,After lock: Door Anticipation Time.,,,2512.2249126434326
4,,1,1,Practice,0,Reward screen displayed.,,,2809.835195541382
5,,1,1,Practice,0,ITI screen displayed.,,,2669.2373752593994
1,,1,1,TaskRun1,,After Calibration Before Door Practice Game,,,686.509370803833
2,,1,1,TaskRun1,0,Playing Door Game (Before lock).,4,1,1742.1283721923828
3,,1,1,TaskRun1,0,After lock: Door Anticipation Time.,4,1,2061.3346099853516
4,,1,1,TaskRun1,0,Punishment screen (score:1) displayed.,4,1,418.8799858093262
5,,1,1,TaskRun1,0,ITI screen displayed.,,,17872.87735939026
6,,1,1,TaskRun1,1,Playing Door Game (Before lock).,3,7,1801.0833263397217
7,,1,1,TaskRun1,1,After lock: Door Anticipation Time.,3,7,3353.178024291992
8,,1,1,TaskRun1,1,Punishment screen (score:7) displayed.,3,7,389.85252380371094
9,,1,1,TaskRun1,1,ITI screen displayed.,,,5140.022993087769
1,,1,1,TaskRun2,,After Calibration Before Door Practice Game,,,578.1123638153076
2,,1,1,TaskRun2,0,Playing Door Game (Before lock).,4,7,2326.5438079833984
3,,1,1,TaskRun2,0,After lock: Door Anticipation Time.,4,7,2993.6468601226807
4,,1,1,TaskRun2,0,Punishment screen (score:7) displayed.,4,7,381.98089599609375
5,,1,1,TaskRun2,0,ITI screen displayed.,,,4169.863700866699
1,,1,1,TaskRun3,,After Calibration Before Door Practice Game,,,585.3066444396973
2,,1,1,TaskRun3,0,Playing Door Game (Before lock).,6,5,4991.393089294434
3,,1,1,TaskRun3,0,After lock: Door Anticipation Time.,6,5,2216.4807319641113
4,,1,1,TaskRun3,0,Reward screen (score:6) displayed.,6,5,348.68717193603516
5,,1,1,TaskRun3,0,ITI screen displayed.,,,3422.889471054077
