ExperimentName,SessionStartDateTime,Subject,Session,Version,Section,Subtrial,DistanceFromDoor_SubTrial,Distance_lock,Distance_start,Distance_min,Distance_max,Door_anticipation_time,Door_opened,Door_outcome,Reward_magnitude,Punishment_magnitude,DoorAction_RT,ITI_duration,Total_coins,VAS_type,VAS_score,VAS_RT,Q_type,Q_score,Q_RT
Doors_AA_v8.py,02/18/22 10:06:05,1,1,1,VAS pre,,,,,,,,,,,,,,,Anxiety,19,1792.738676071167,,,
Doors_AA_v8.py,02/18/22 10:06:05,1,1,1,VAS pre,,,,,,,,,,,,,,,Anxiety,19,1792.738676071167,,,
Doors_AA_v8.py,02/18/22 10:06:07,1,1,1,VAS pre,,,,,,,,,,,,,,,Avoidance,44,1013.0195617675781,,,
Doors_AA_v8.py,02/18/22 10:06:05,1,1,1,VAS pre,,,,,,,,,,,,,,,Anxiety,19,1792.738676071167,,,
Doors_AA_v8.py,02/18/22 10:06:07,1,1,1,VAS pre,,,,,,,,,,,,,,,Avoidance,44,1013.0195617675781,,,
Doors_AA_v8.py,02/18/22 10:06:08,1,1,1,VAS pre,,,,,,,,,,,,,,,Tired,70,539.515495300293,,,
Doors_AA_v8.py,02/18/22 10:06:05,1,1,1,VAS pre,,,,,,,,,,,,,,,Anxiety,19,1792.738676071167,,,
Doors_AA_v8.py,02/18/22 10:06:07,1,1,1,VAS pre,,,,,,,,,,,,,,,Avoidance,44,1013.0195617675781,,,
Doors_AA_v8.py,02/18/22 10:06:08,1,1,1,VAS pre,,,,,,,,,,,,,,,Tired,70,539.515495300293,,,
Doors_AA_v8.py,02/18/22 10:06:09,1,1,1,VAS pre,,,,,,,,,,,,,,,Mood,40,591.8653011322021,,,
Doors_AA_v8.py,02/18/22 10:06:05,1,1,1,VAS pre,,,,,,,,,,,,,,,Anxiety,19,1792.738676071167,,,
Doors_AA_v8.py,02/18/22 10:06:07,1,1,1,VAS pre,,,,,,,,,,,,,,,Avoidance,44,1013.0195617675781,,,
Doors_AA_v8.py,02/18/22 10:06:08,1,1,1,VAS pre,,,,,,,,,,,,,,,Tired,70,539.515495300293,,,
Doors_AA_v8.py,02/18/22 10:06:09,1,1,1,VAS pre,,,,,,,,,,,,,,,Mood,40,591.8653011322021,,,
Doors_AA_v8.py,02/18/22 10:06:10,1,1,1,Instructions,,,,,,,,,,,,,,,,,,,,
