Index,subjectID,Session,Version,Section,Subtrial,Event,Reward,Punishment,Duration(ms)
1,,1,1,Practice,,After Calibration Before Door Practice Game,,,2180.0549030303955
2,,1,1,Practice,0,Playing Door Game (Before lock).,,,4016.2453651428223
3,,1,1,Practice,0,After lock: Door Anticipation Time.,,,2963.087558746338
4,,1,1,Practice,0,Reward screen displayed.,,,2876.234531402588
5,,1,1,Practice,0,ITI screen displayed.,,,2081.1140537261963
6,,1,1,Practice,1,Playing Door Game (Before lock).,,,6217.02241897583
7,,1,1,Practice,1,After lock: Door Anticipation Time.,,,3101.3283729553223
8,,1,1,Practice,1,Reward screen displayed.,,,2790.836811065674
9,,1,1,Practice,1,ITI screen displayed.,,,1216.4280414581299
10,,1,1,Practice,2,Playing Door Game (Before lock).,,,6134.236097335815
11,,1,1,Practice,2,After lock: Door Anticipation Time.,,,2283.1711769104004
12,,1,1,Practice,2,Reward screen displayed.,,,2796.2722778320312
13,,1,1,Practice,2,ITI screen displayed.,,,1955.6126594543457
1,,1,1,TaskRun1,,After Calibration Before Door Practice Game,,,544.4185733795166
2,,1,1,TaskRun1,0,Playing Door Game (Before lock).,6,7,7304.003477096558
3,,1,1,TaskRun1,0,After lock: Door Anticipation Time.,6,7,3910.1781845092773
4,,1,1,TaskRun1,0,Punishment screen (score:7) displayed.,6,7,366.38522148132324
5,,1,1,TaskRun1,0,Reward screen (Door opened) displayed.,6,7,2229.809284210205
6,,1,1,TaskRun1,0,ITI screen displayed.,,,3890.1498317718506
7,,1,1,TaskRun1,1,Playing Door Game (Before lock).,6,4,1714.7305011749268
8,,1,1,TaskRun1,1,After lock: Door Anticipation Time.,6,4,2717.590570449829
9,,1,1,TaskRun1,1,Reward screen (score:6) displayed.,6,4,294.16489601135254
10,,1,1,TaskRun1,1,Reward screen (Door opened) displayed.,6,4,2016.1750316619873
11,,1,1,TaskRun1,1,ITI screen displayed.,,,3952.7742862701416
12,,1,1,TaskRun1,2,Playing Door Game (Before lock).,3,7,3063.464879989624
13,,1,1,TaskRun1,2,After lock: Door Anticipation Time.,3,7,2192.5575733184814
14,,1,1,TaskRun1,2,Reward screen (score:3) displayed.,3,7,301.8832206726074
15,,1,1,TaskRun1,2,Reward screen (Door opened) displayed.,3,7,2012.4735832214355
16,,1,1,TaskRun1,2,ITI screen displayed.,,,3983.447790145874
17,,1,1,TaskRun1,3,Playing Door Game (Before lock).,6,5,3311.6226196289062
18,,1,1,TaskRun1,3,After lock: Door Anticipation Time.,6,5,2391.3023471832275
19,,1,1,TaskRun1,3,Punishment screen (score:5) displayed.,6,5,366.8866157531738
20,,1,1,TaskRun1,3,Reward screen (Door opened) displayed.,6,5,2013.5173797607422
21,,1,1,TaskRun1,3,ITI screen displayed.,,,4103.835344314575
22,,1,1,TaskRun1,4,Playing Door Game (Before lock).,2,5,2766.080617904663
23,,1,1,TaskRun1,4,After lock: Door Anticipation Time.,2,5,3091.566801071167
24,,1,1,TaskRun1,4,Reward screen (score:2) displayed.,2,5,300.22192001342773
25,,1,1,TaskRun1,4,Reward screen (Door opened) displayed.,2,5,2012.2904777526855
26,,1,1,TaskRun1,4,ITI screen displayed.,,,4088.334798812866
1,,1,1,TaskRun2,,After Calibration Before Door Practice Game,,,533.6968898773193
2,,1,1,TaskRun2,0,Playing Door Game (Before lock).,4,1,2288.166046142578
3,,1,1,TaskRun2,0,After lock: Door Anticipation Time.,4,1,3548.398733139038
4,,1,1,TaskRun2,0,Reward screen (score:4) displayed.,4,1,304.1250705718994
5,,1,1,TaskRun2,0,Reward screen (Door opened) displayed.,4,1,2012.6197338104248
6,,1,1,TaskRun2,0,ITI screen displayed.,,,6981.592655181885
7,,1,1,TaskRun2,1,Playing Door Game (Before lock).,3,4,2055.760383605957
8,,1,1,TaskRun2,1,After lock: Door Anticipation Time.,3,4,3870.5954551696777
9,,1,1,TaskRun2,1,Reward screen (score:3) displayed.,3,4,291.0144329071045
10,,1,1,TaskRun2,1,Reward screen (Door opened) displayed.,3,4,2013.7438774108887
11,,1,1,TaskRun2,1,ITI screen displayed.,,,12559.4322681427
12,,1,1,TaskRun2,2,Playing Door Game (Before lock).,3,2,2611.5376949310303
13,,1,1,TaskRun2,2,After lock: Door Anticipation Time.,3,2,2328.571081161499
14,,1,1,TaskRun2,2,Reward screen (score:3) displayed.,3,2,285.7475280761719
15,,1,1,TaskRun2,2,Reward screen (Door opened) displayed.,3,2,2012.497901916504
16,,1,1,TaskRun2,2,ITI screen displayed.,,,16463.97352218628
17,,1,1,TaskRun2,3,Playing Door Game (Before lock).,5,4,2200.0551223754883
18,,1,1,TaskRun2,3,After lock: Door Anticipation Time.,5,4,2661.4131927490234
19,,1,1,TaskRun2,3,Punishment screen (score:4) displayed.,5,4,397.7317810058594
20,,1,1,TaskRun2,3,Reward screen (Door opened) displayed.,5,4,2013.6528015136719
21,,1,1,TaskRun2,3,ITI screen displayed.,,,6658.017158508301
22,,1,1,TaskRun2,4,Playing Door Game (Before lock).,1,6,7567.379713058472
23,,1,1,TaskRun2,4,After lock: Door Anticipation Time.,1,6,2229.107618331909
24,,1,1,TaskRun2,4,Reward screen (Door not opened) displayed.,1,6,7.190227508544922
25,,1,1,TaskRun2,4,Reward screen (Door opened) displayed.,1,6,2011.7566585540771
