Index,subjectID,Session,Version,Section,Subtrial,Event,Reward,Punishment,Duration(ms)
1,,1,1,Practice,,After Calibration Before Door Practice Game,,,3057.1327209472656
1,,1,1,Practice,,After Calibration Before Door Practice Game,,,3057.1327209472656
2,,1,1,Practice,0,Playing Door Game (Before lock).,,,3394.4382667541504
1,,1,1,Practice,,After Calibration Before Door Practice Game,,,3057.1327209472656
2,,1,1,Practice,0,Playing Door Game (Before lock).,,,3394.4382667541504
3,,1,1,Practice,0,After lock: Door Anticipation Time.,,,2948.5414028167725
1,,1,1,Practice,,After Calibration Before Door Practice Game,,,3057.1327209472656
2,,1,1,Practice,0,Playing Door Game (Before lock).,,,3394.4382667541504
3,,1,1,Practice,0,After lock: Door Anticipation Time.,,,2948.5414028167725
4,,1,1,Practice,0,Reward screen displayed.,,,2804.3911457061768
1,,1,1,Practice,,After Calibration Before Door Practice Game,,,3057.1327209472656
2,,1,1,Practice,0,Playing Door Game (Before lock).,,,3394.4382667541504
3,,1,1,Practice,0,After lock: Door Anticipation Time.,,,2948.5414028167725
4,,1,1,Practice,0,Reward screen displayed.,,,2804.3911457061768
5,,1,1,Practice,0,ITI screen displayed.,,,1335.2091312408447
1,,1,1,Practice,,After Calibration Before Door Practice Game,,,3057.1327209472656
2,,1,1,Practice,0,Playing Door Game (Before lock).,,,3394.4382667541504
3,,1,1,Practice,0,After lock: Door Anticipation Time.,,,2948.5414028167725
4,,1,1,Practice,0,Reward screen displayed.,,,2804.3911457061768
5,,1,1,Practice,0,ITI screen displayed.,,,1335.2091312408447
1,,1,1,TaskRun1,,After Calibration Before Door Practice Game,,,571.1326599121094
1,,1,1,Practice,,After Calibration Before Door Practice Game,,,3057.1327209472656
2,,1,1,Practice,0,Playing Door Game (Before lock).,,,3394.4382667541504
3,,1,1,Practice,0,After lock: Door Anticipation Time.,,,2948.5414028167725
4,,1,1,Practice,0,Reward screen displayed.,,,2804.3911457061768
5,,1,1,Practice,0,ITI screen displayed.,,,1335.2091312408447
1,,1,1,TaskRun1,,After Calibration Before Door Practice Game,,,571.1326599121094
2,,1,1,TaskRun1,0,Playing Door Game (Before lock).,3,2,2308.532476425171
1,,1,1,Practice,,After Calibration Before Door Practice Game,,,3057.1327209472656
2,,1,1,Practice,0,Playing Door Game (Before lock).,,,3394.4382667541504
3,,1,1,Practice,0,After lock: Door Anticipation Time.,,,2948.5414028167725
4,,1,1,Practice,0,Reward screen displayed.,,,2804.3911457061768
5,,1,1,Practice,0,ITI screen displayed.,,,1335.2091312408447
1,,1,1,TaskRun1,,After Calibration Before Door Practice Game,,,571.1326599121094
2,,1,1,TaskRun1,0,Playing Door Game (Before lock).,3,2,2308.532476425171
3,,1,1,TaskRun1,0,After lock: Door Anticipation Time.,3,2,3982.964277267456
1,,1,1,Practice,,After Calibration Before Door Practice Game,,,3057.1327209472656
2,,1,1,Practice,0,Playing Door Game (Before lock).,,,3394.4382667541504
3,,1,1,Practice,0,After lock: Door Anticipation Time.,,,2948.5414028167725
4,,1,1,Practice,0,Reward screen displayed.,,,2804.3911457061768
5,,1,1,Practice,0,ITI screen displayed.,,,1335.2091312408447
1,,1,1,TaskRun1,,After Calibration Before Door Practice Game,,,571.1326599121094
2,,1,1,TaskRun1,0,Playing Door Game (Before lock).,3,2,2308.532476425171
3,,1,1,TaskRun1,0,After lock: Door Anticipation Time.,3,2,3982.964277267456
4,,1,1,TaskRun1,0,Reward screen (score:3) displayed.,3,2,304.22282218933105
