SubjectID,expName,Session,Section,Section Start Time,Section End Time,Section Time,Response Time,User Answer,User Answer Correctness,Image Group,Image Count,Image Displayed #1,Image Displayed #2,Image Displayed #3,Image Displayed #4,Image Displayed #5,Image Displayed #6
1,MemoryParadigm,1,Test Instruction (Screen 1),08-04-2021 14:28:14,08-04-2021 14:28:15,1.169947862625122,1.1630041599273682,Continue Clicked,,example,0,./img/example1.jpg,./img/example2.jpg,,,,
1,MemoryParadigm,1,Test Instruction (Screen 2),08-04-2021 14:28:15,08-04-2021 14:28:16,0.9070448875427246,0.9001004695892334,Continue Clicked,,example,0,./img/example1.jpg,./img/example2.jpg,,,,
1,MemoryParadigm,1,Test Instruction (Screen 3),08-04-2021 14:28:16,08-04-2021 14:28:17,0.9049715995788574,0.8980274200439453,Continue Clicked,,example,0,./img/example1.jpg,,,,,
1,MemoryParadigm,1,Practice try#0,08-04-2021 14:28:17,08-04-2021 14:28:20,2.868295669555664,2.8570504188537598,3,Incorrect,example,0,./img/example1.jpg,./img/example2.jpg,./img/example3.jpg,./img/example4.jpg,./img/example5.jpg,./img/example6.jpg
1,MemoryParadigm,1,Play Practice Again Screen,08-04-2021 14:28:20,08-04-2021 14:28:21,1.0195693969726562,1.0091536045074463,Continue Clicked,,,0,,,,,,
1,MemoryParadigm,1,Practice try#0,08-04-2021 14:28:21,08-04-2021 14:28:21,0.3494269847869873,0.3375225067138672,1,Correct,example,0,./img/example1.jpg,./img/example2.jpg,./img/example3.jpg,./img/example4.jpg,./img/example5.jpg,./img/example6.jpg
1,MemoryParadigm,1,Practice Success Screen,08-04-2021 14:28:21,08-04-2021 14:28:22,0.5636096000671387,0.5566651821136475,Continue Clicked,,,0,,,,,,
1,MemoryParadigm,1,Test:1 of 24 (Try #0),08-04-2021 14:28:22,08-04-2021 14:28:22,0.35685038566589355,0.34572863578796387,4,Correct,barn,0,./img/barn1.jpg,./img/barn6.jpg,./img/barn7.jpg,./img/barn4.jpg,./img/barn5.jpg,./img/barn8.jpg
1,MemoryParadigm,1,Test:2 of 24 (Try #0),08-04-2021 14:28:23,08-04-2021 14:28:23,0.3946256637573242,0.3827216625213623,1,Incorrect,lobby,0,./img/lobby1.jpg,./img/lobby7.jpg,./img/lobby8.jpg,./img/lobby5.jpg,./img/lobby6.jpg,./img/lobby4.jpg
1,MemoryParadigm,1,Test:3 of 24 (Try #0),08-04-2021 14:28:24,08-04-2021 14:28:24,0.0883793830871582,0.07746052742004395,3,Incorrect,bath,0,./img/bath1.jpg,./img/bath5.jpg,./img/bath8.jpg,./img/bath4.jpg,./img/bath6.jpg,./img/bath7.jpg
1,MemoryParadigm,1,Test:4 of 24 (Try #0),08-04-2021 14:28:24,08-04-2021 14:28:25,0.07935976982116699,0.06795215606689453,2,Incorrect,temple,0,./img/temple1.jpg,./img/temple8.jpg,./img/temple6.jpg,./img/temple5.jpg,./img/temple4.jpg,./img/temple7.jpg
1,MemoryParadigm,1,Test:5 of 24 (Try #0),08-04-2021 14:28:25,08-04-2021 14:28:25,0.08772993087768555,0.07681798934936523,5,Incorrect,playground,0,./img/playground1.jpg,./img/playground5.jpg,./img/playground4.jpg,./img/playground8.jpg,./img/playground7.jpg,./img/playground6.jpg
1,MemoryParadigm,1,Test:6 of 24 (Try #0),08-04-2021 14:28:26,08-04-2021 14:28:26,0.024828672409057617,0.009920120239257812,1,Incorrect,entry,0,./img/entry1.jpg,./img/entry8.jpg,./img/entry5.jpg,./img/entry6.jpg,./img/entry4.jpg,./img/entry3.jpg
1,MemoryParadigm,1,Test:7 of 24 (Try #0),08-04-2021 14:28:26,08-04-2021 14:28:26,0.02480602264404297,0.010416269302368164,4,Correct,field,0,./img/field1.jpg,./img/field6.jpg,./img/field8.jpg,./img/field5.jpg,./img/field7.jpg,./img/field4.jpg
1,MemoryParadigm,1,Test:8 of 24 (Try #0),08-04-2021 14:28:27,08-04-2021 14:28:27,0.10385560989379883,0.09443140029907227,5,Incorrect,underwater,0,./img/underwater1.jpg,./img/underwater5.jpg,./img/underwater4.jpg,./img/underwater7.jpg,./img/underwater6.jpg,./img/underwater8.jpg
1,MemoryParadigm,1,Test:9 of 24 (Try #0),08-04-2021 14:28:28,08-04-2021 14:28:28,0.6575846672058105,0.646146297454834,2,Incorrect,barn,0,./img/barn2.jpg,./img/barn6.jpg,./img/barn7.jpg,./img/barn4.jpg,./img/barn5.jpg,./img/barn8.jpg
1,MemoryParadigm,1,Test:10 of 24 (Try #0),08-04-2021 14:28:29,08-04-2021 14:28:30,0.693385124206543,0.6829683780670166,4,Incorrect,lobby,0,./img/lobby2.jpg,./img/lobby7.jpg,./img/lobby8.jpg,./img/lobby5.jpg,./img/lobby6.jpg,./img/lobby4.jpg
1,MemoryParadigm,1,Test:11 of 24 (Try #0),08-04-2021 14:28:30,08-04-2021 14:28:30,0.32236742973327637,0.3119199275970459,3,Incorrect,bath,0,./img/bath2.jpg,./img/bath5.jpg,./img/bath8.jpg,./img/bath4.jpg,./img/bath6.jpg,./img/bath7.jpg
1,MemoryParadigm,1,Test:12 of 24 (Try #0),08-04-2021 14:28:31,08-04-2021 14:28:38,6.462550640106201,6.4511425495147705,1,Incorrect,temple,0,./img/temple2.jpg,./img/temple8.jpg,./img/temple6.jpg,./img/temple5.jpg,./img/temple4.jpg,./img/temple7.jpg
